n121_eagleowl_or_reverif_v118_v130.htm — EagleOwl_v1 · XAUUSD.p · 8652 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      509  1.47   2.25     123   4.13  155   65 |   215/60    146/61    196/56    -48/49 
Gold Reaper 4|1915.30      2       23   inf  11.41       0 570.25    2    0 |     0/0       0/0      23/2       0/0  
GoldbotOne_8|1858.22       1       23   inf  22.77       0 569.25    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 5|1910.16      2       23   inf  11.35       0 283.62    1    1 |     0/0       0/0      23/2       0/0  
Gold Reaper 6|1723.95      4       23   inf   5.66       0 141.44    0    4 |     0/0      23/4       0/0       0/0  
DaytradePro_XAUUSD|194     2       23   inf  11.32       0 282.88    0    2 |     0/0       0/0      23/2       0/0  
Gold Reaper 4|2051.94      1       23   inf  22.62       0 565.50    0    1 |     0/0       0/0      23/1       0/0  
goldtrade_H|1833.35        2       23   inf  11.28       0 282.00    2    0 |     0/0       0/0      23/2       0/0  
Gold Reaper 5|2633.15      3       22   inf   7.50       0 187.42    0    3 |     0/0       0/0       0/0      22/3  
GoldDaily1|2392.92         1       22   inf  22.47       0 561.75    1    0 |     0/0       0/0       0/0      22/1  
Gold Reaper 7|1855.72      2       22   inf  11.19       0 279.63    0    2 |    22/2       0/0       0/0       0/0  
Gold Reaper 6|2337.11      5       22 15.79   4.47       2  11.53    1    3 |     0/0       0/0       0/0      22/5  
GoldDaily3|1999.46         1       22   inf  22.34       0 558.50    0    1 |     0/0       0/0      22/1       0/0  
Gold Reaper 5|1896.35      3       22   inf   7.45       0 186.17    0    3 |     0/0       0/0      22/3       0/0  
Gold Reaper 6|2336.67      4       22 38.72   5.58       1  24.25    0    3 |     0/0       0/0       0/0      22/4  
GoldDaily3|2624.75         1       22   inf  22.28       0 557.00    1    0 |     0/0       0/0       0/0      22/1  
GoldDaily3|1691.43         1       22   inf  22.27       0 556.75    0    1 |     0/0      22/1       0/0       0/0  
GoldDaily3|2009.37         2       22  8.39  11.04       3   7.05    1    1 |     0/0       0/0      22/2       0/0  
Gold Reaper 5|1940.01      3       22   inf   7.35       0 183.83    0    3 |     0/0       0/0      22/3       0/0  
Gold Reaper 5|1860.33      9       22  2.93   2.44      12   1.81    4    5 |     0/0       0/0      22/9       0/0  
GoldDaily1|1760.64         1       22   inf  21.88       0 547.00    1    0 |    22/1       0/0       0/0       0/0  
Gold Reaper 5|1934.90      1       22   inf  21.80       0 545.00    0    1 |     0/0       0/0      22/1       0/0  
GoldDaily1|1719.23         1       22   inf  21.69       0 542.25    1    0 |    22/1       0/0       0/0       0/0  
GoldDaily3|1758.67         1       22   inf  21.65       0 541.25    0    1 |    22/1       0/0       0/0       0/0  
Gold Reaper 6|1830.23      5       22 11.06   4.33       3   8.35    0    4 |     0/0       0/0      22/5       0/0  
Gold Reaper 6|2030.79      1       21   inf  21.45       0 536.25    0    1 |     0/0       0/0      21/1       0/0  
Gold Reaper 5|1829.58      2       21   inf  10.71       0 267.75    0    2 |    21/2       0/0       0/0       0/0  
DaytradePro_XAUUSD|182     2       21   inf  10.63       0 265.75    0    2 |     0/0      21/2       0/0       0/0  
Gold Reaper 7|2632.45      4       21   inf   5.31       0 132.69    4    0 |     0/0       0/0       0/0      21/4  
GoldDaily3|1915.04         1       21   inf  21.11       0 527.75    0    1 |     0/0      21/1       0/0       0/0  
GoldbotOne_8|1932.42       1       21   inf  21.04       0 526.00    0    1 |     0/0       0/0      21/1       0/0  
Gold Reaper 5|2051.94      3       21   inf   6.99       0 174.83    0    3 |     0/0       0/0      21/3       0/0  
GoldDaily3|1854.85         1       21   inf  20.93       0 523.25    0    1 |    21/1       0/0       0/0       0/0  
Gold Reaper 7|2007.54      1       21   inf  20.91       0 522.75    1    0 |     0/0       0/0      21/1       0/0  
