jeu,mois,net
GoldDaily3|1750.68,2021-08,22.96
DaytradePro_XAUUSD|1723.71,2021-08,10.20
goldtrade_E|1677.89,2021-08,-6.73
Gold Reaper 8|1758.17,2021-08,-0.10
Gold Reaper 8|1792.42,2021-08,7.53
Gold Reaper 7|1792.42,2021-08,19.78
goldtrade_D|1795.52,2021-08,10.81
DaytradePro_XAUUSD|1795.52,2021-08,10.36
Gold Reaper 8|1795.52,2021-08,7.51
Gold Reaper 4|1795.52,2021-08,1.36
Gold Reaper 7|1795.52,2021-08,9.85
GoldDaily3|1795.52,2021-08,-0.54
GoldDaily1|1795.52,2021-08,-1.24
GoldbotOne_8|1795.52,2021-08,2.17
Gold Reaper 8|1806.47,2021-08,-1.50
Gold Reaper 8|1782.47,2021-08,-0.14
goldtrade_D|1809.55,2021-08,-0.90
goldtrade_H|1809.55,2021-08,-1.00
Gold Reaper 3|1809.55,2021-08,-1.23
Gold Reaper 8|1809.55,2021-08,5.07
DaytradePro_XAUUSD|1809.55,2021-08,20.93
Gold Reaper 4|1809.55,2021-08,3.16
Gold Reaper 7|1809.55,2021-08,19.87
GoldDaily3|1809.55,2021-08,1.38
GoldDaily1|1809.55,2021-08,-0.31
GoldbotOne_8|1809.55,2021-08,14.39
Gold Reaper 8|1819.21,2021-09,-12.21
Gold Reaper 7|1819.21,2021-09,-12.90
DaytradePro_XAUUSD|1823.18,2021-09,1.15
DaytradePro_XAUUSD|1832.65,2021-09,-8.85
GoldDaily3|1831.73,2021-09,-22.63
GoldbotOne_8|1831.73,2021-09,-14.01
Gold Reaper 8|1804.95,2021-09,7.70
Gold Reaper 7|1804.95,2021-09,10.08
Gold Reaper 8|1801.63,2021-09,-0.08
Gold Reaper 7|1801.63,2021-09,-4.93
Gold Reaper 8|1792.41,2021-09,7.70
DaytradePro_XAUUSD|1782.36,2021-09,-16.17
Gold Reaper 8|1783.67,2021-09,-6.02
Gold Reaper 7|1783.67,2021-09,-14.14
goldtrade_H|1782.36,2021-09,-5.51
Gold Reaper 4|1782.36,2021-09,-8.12
Gold Reaper 3|1782.36,2021-09,-0.12
Gold Reaper 8|1782.36,2021-09,-12.27
Gold Reaper 7|1782.36,2021-09,-15.48
goldtrade_D|1782.36,2021-09,-6.59
GoldDaily1|1782.36,2021-09,20.03
GoldbotOne_8|1782.36,2021-09,-9.12
GoldDaily3|1782.36,2021-09,38.97
Gold Reaper 8|1803.87,2021-09,-0.09
Gold Reaper 7|1803.87,2021-09,-9.88
Gold Reaper 4|1803.87,2021-09,0.13
Gold Reaper 4|1781.57,2021-09,23.24
Gold Reaper 8|1781.57,2021-09,22.42
Gold Reaper 7|1781.57,2021-09,7.65
Gold Reaper 4|1780.04,2021-09,22.17
GoldDaily1|1780.04,2021-09,18.51
GoldbotOne_8|1780.04,2021-09,9.95
GoldDaily3|1780.04,2021-09,19.52
Gold Reaper 8|1745.29,2021-09,-0.08
Gold Reaper 7|1745.29,2021-09,-15.24
Gold Reaper 8|1781.73,2021-09,-0.10
Gold Reaper 7|1781.73,2021-09,-10.07
DaytradePro_XAUUSD|1742.01,2021-09,-1.11
goldtrade_H|1742.01,2021-09,-0.21
Gold Reaper 4|1742.01,2021-09,-1.28
Gold Reaper 3|1742.01,2021-09,1.06
Gold Reaper 8|1742.01,2021-09,-7.90
Gold Reaper 7|1742.01,2021-09,-8.61
goldtrade_D|1742.01,2021-09,0.06
GoldDaily1|1742.01,2021-09,-16.35
GoldDaily2|1742.01,2021-09,-1.28
GoldbotOne_8|1742.01,2021-09,-7.82
GoldDaily3|1742.01,2021-09,-11.72
DaytradePro_XAUUSD|1737.77,2021-09,-5.11
goldtrade_H|1737.77,2021-09,-0.09
