jeu,mois,net
GoldbotOne_8|1791.70,2021-07,-9.73
GoldDaily3|1791.70,2021-07,-15.46
Gold Reaper 5|1810.31,2021-07,0.46
Gold Reaper 6|1793.68,2021-07,-8.27
Gold Reaper 7|1793.68,2021-07,-8.07
Gold Reaper 5|1793.68,2021-07,-4.72
Gold Reaper 6|1811.49,2021-07,5.93
Gold Reaper 5|1811.49,2021-07,6.16
Gold Reaper 4|1811.49,2021-07,5.32
Gold Reaper 7|1811.49,2021-07,7.15
GoldDaily1|1811.49,2021-07,5.50
GoldDaily3|1811.49,2021-07,6.24
GoldbotOne_8|1811.49,2021-07,19.77
Gold Reaper 7|1824.92,2021-07,0.11
goldtrade_D|1833.99,2021-07,-0.28
goldtrade_H|1833.99,2021-07,-0.37
goldtrade_E|1833.99,2021-07,-5.99
goldtrade_E|1833.99,2021-09,-4.96
goldtrade_D|1832.65,2021-08,-0.50
goldtrade_D|1832.65,2021-09,-8.73
Gold Reaper 4|1805.80,2021-08,-1.45
Gold Reaper 6|1805.80,2021-08,18.41
Gold Reaper 7|1805.80,2021-08,63.21
Gold Reaper 5|1805.80,2021-08,13.36
Gold Reaper 5|1806.50,2021-08,6.12
GoldDaily1|1805.80,2021-08,6.80
GoldbotOne_8|1805.80,2021-08,5.01
GoldDaily3|1805.80,2021-08,7.50
DaytradePro_XAUUSD|1790.47,2021-08,-0.14
DaytradePro_XAUUSD|1750.68,2021-08,-0.92
goldtrade_D|1750.68,2021-08,-1.25
goldtrade_E|1750.68,2021-08,10.78
GoldDaily2|1750.68,2021-08,-18.96
GoldbotOne_8|1750.68,2021-08,19.72
GoldDaily3|1750.68,2021-08,22.96
DaytradePro_XAUUSD|1723.71,2021-08,10.20
goldtrade_E|1677.89,2021-08,-6.73
Gold Reaper 5|1758.17,2021-08,0.45
Gold Reaper 6|1792.42,2021-08,5.78
Gold Reaper 7|1792.42,2021-08,19.78
goldtrade_D|1795.52,2021-08,10.81
DaytradePro_XAUUSD|1795.52,2021-08,10.36
Gold Reaper 6|1795.52,2021-08,5.89
Gold Reaper 5|1795.52,2021-08,6.07
Gold Reaper 4|1795.52,2021-08,1.36
Gold Reaper 7|1795.52,2021-08,9.85
GoldDaily3|1795.52,2021-08,0.48
GoldDaily1|1795.52,2021-08,-1.24
GoldbotOne_8|1795.52,2021-08,2.17
Gold Reaper 5|1806.47,2021-08,-1.47
Gold Reaper 5|1782.47,2021-08,0.47
goldtrade_D|1809.55,2021-08,-0.90
goldtrade_H|1809.55,2021-08,-1.00
DaytradePro_XAUUSD|1809.55,2021-08,7.28
Gold Reaper 6|1809.55,2021-08,14.93
Gold Reaper 5|1809.55,2021-08,22.63
Gold Reaper 4|1809.55,2021-08,3.16
Gold Reaper 7|1809.55,2021-08,20.30
GoldDaily3|1809.55,2021-08,1.38
GoldDaily1|1809.55,2021-08,-0.31
GoldbotOne_8|1809.55,2021-08,14.39
Gold Reaper 6|1819.21,2021-09,-6.94
Gold Reaper 7|1819.21,2021-09,-12.90
DaytradePro_XAUUSD|1823.18,2021-09,1.15
DaytradePro_XAUUSD|1832.65,2021-09,-8.85
GoldDaily3|1831.73,2021-09,-22.63
GoldbotOne_8|1831.73,2021-09,-14.01
Gold Reaper 6|1804.95,2021-09,5.99
Gold Reaper 7|1804.95,2021-09,10.08
Gold Reaper 5|1804.95,2021-09,6.16
Gold Reaper 7|1801.63,2021-09,0.10
Gold Reaper 5|1801.63,2021-09,-4.93
Gold Reaper 5|1792.41,2021-09,6.18
DaytradePro_XAUUSD|1782.36,2021-09,-16.23
Gold Reaper 6|1783.67,2021-09,-6.02
Gold Reaper 7|1783.67,2021-09,-14.14
Gold Reaper 5|1783.67,2021-09,-12.30
goldtrade_H|1782.36,2021-09,-6.59
Gold Reaper 4|1782.36,2021-09,-9.12
Gold Reaper 6|1782.36,2021-09,-13.59
Gold Reaper 7|1782.36,2021-09,-15.48
goldtrade_D|1782.36,2021-09,-8.06
Gold Reaper 5|1782.36,2021-09,-15.79
GoldDaily1|1782.36,2021-09,20.03
GoldbotOne_8|1782.36,2021-09,-12.90
GoldDaily3|1782.36,2021-09,38.97
Gold Reaper 6|1803.87,2021-09,-23.33
Gold Reaper 5|1803.87,2021-09,-13.29
Gold Reaper 7|1803.87,2021-09,0.13
Gold Reaper 4|1803.87,2021-09,1.88
Gold Reaper 4|1781.57,2021-09,23.24
Gold Reaper 6|1781.57,2021-09,22.42
Gold Reaper 7|1781.57,2021-09,6.15
Gold Reaper 5|1781.57,2021-09,5.91
Gold Reaper 4|1780.04,2021-09,22.17
GoldDaily1|1780.04,2021-09,18.51
GoldbotOne_8|1780.04,2021-09,9.95
GoldDaily3|1780.04,2021-09,19.52
Gold Reaper 6|1745.29,2021-09,-12.02
Gold Reaper 7|1745.29,2021-09,0.46
Gold Reaper 5|1745.29,2021-09,-15.24
Gold Reaper 5|1781.73,2021-09,6.04
Gold Reaper 6|1781.73,2021-09,5.81
Gold Reaper 7|1781.73,2021-09,-10.07
DaytradePro_XAUUSD|1742.01,2021-09,0.46
goldtrade_H|1742.01,2021-09,1.06
Gold Reaper 4|1742.01,2021-09,0.48
Gold Reaper 6|1742.01,2021-09,-16.35
Gold Reaper 7|1742.01,2021-09,-7.82
goldtrade_D|1742.01,2021-09,-0.21
Gold Reaper 5|1742.01,2021-09,-8.61
GoldDaily1|1742.01,2021-09,-11.72
GoldDaily2|1742.01,2021-09,0.06
GoldbotOne_8|1742.01,2021-09,-1.11
GoldDaily3|1742.01,2021-09,-7.90
DaytradePro_XAUUSD|1737.77,2021-09,0.11
goldtrade_H|1737.77,2021-09,0.43
Gold Reaper 4|1737.77,2021-09,-1.33
Gold Reaper 6|1737.77,2021-09,-5.11
Gold Reaper 7|1737.77,2021-09,1.58
goldtrade_D|1737.77,2021-09,0.47
Gold Reaper 5|1737.77,2021-09,-3.59
GoldDaily1|1737.77,2021-09,-4.28
GoldDaily2|1737.77,2021-09,2.09
GoldbotOne_8|1737.77,2021-09,1.21
GoldDaily3|1737.77,2021-09,0.79
Gold Reaper 6|1728.11,2021-09,0.10
Gold Reaper 7|1728.11,2021-09,0.44
Gold Reaper 5|1728.11,2021-09,0.50
Gold Reaper 6|1745.54,2021-09,11.41
Gold Reaper 7|1745.54,2021-09,9.53
Gold Reaper 6|1760.86,2021-09,0.45
Gold Reaper 5|1760.86,2021-09,0.51
Gold Reaper 7|1760.86,2021-09,0.12
Gold Reaper 5|1764.19,2021-10,-4.26
Gold Reaper 6|1747.69,2021-10,-0.56
Gold Reaper 7|1747.69,2021-10,-0.79
Gold Reaper 5|1747.69,2021-10,0.50
Gold Reaper 6|1766.97,2021-10,5.77
Gold Reaper 5|1766.97,2021-10,5.99
Gold Reaper 7|1766.97,2021-10,9.71
goldtrade_D|1770.60,2021-10,11.34
DaytradePro_XAUUSD|1770.60,2021-10,1.13
Gold Reaper 5|1770.60,2021-10,5.99
Gold Reaper 6|1770.60,2021-10,5.75
Gold Reaper 4|1770.60,2021-10,1.29
Gold Reaper 7|1770.60,2021-10,9.74
GoldDaily3|1770.60,2021-10,-2.96
GoldDaily1|1770.60,2021-10,-20.70
GoldbotOne_8|1770.60,2021-10,-2.08
goldtrade_D|1781.37,2021-10,11.08
