n132_eagleowl_or_b2_v144.htm — EagleOwl_v1 · XAUUSD.p · 6522 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     300      946  1.63   3.15     136   6.95  196  101 |   190/74    288/78    322/82    146/66 
goldtrade_E|1780.30        1       18   inf  18.11       0 452.75    0    1 |     0/0      18/1       0/0       0/0  
GoldbotOne_8|1719.23       1       18   inf  18.07       0 451.75    0    1 |    18/1       0/0       0/0       0/0  
GoldbotOne_8|1697.60       1       18   inf  18.07       0 451.75    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 7|1865.14      3       18 21.76   6.01       1  16.10    0    2 |     0/0       0/0      18/3       0/0  
Gold Reaper 8|1902.48      1       18   inf  17.96       0 449.00    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 8|1813.83      1       18   inf  17.88       0 447.00    0    1 |    18/1       0/0       0/0       0/0  
Gold Reaper 1|2483.69      1       18   inf  17.70       0 442.50    0    1 |     0/0       0/0       0/0      18/1  
goldtrade_D|1877.15        1       18   inf  17.69       0 442.25    0    1 |     0/0      18/1       0/0       0/0  
goldtrade_E|1802.16        1       18   inf  17.67       0 441.75    0    1 |    18/1       0/0       0/0       0/0  
Gold Reaper 7|1789.45      2       17   inf   8.74       0 218.50    0    2 |    17/2       0/0       0/0       0/0  
GoldDaily3|1688.00         1       17   inf  17.45       0 436.25    0    1 |     0/0      17/1       0/0       0/0  
GoldDaily2|1831.69         1       17   inf  17.35       0 433.75    1    0 |     0/0      17/1       0/0       0/0  
Gold Reaper 4|1832.00      1       17   inf  17.32       0 433.00    1    0 |     0/0      17/1       0/0       0/0  
GoldDaily1|1739.30         1       17   inf  17.28       0 432.00    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 8|2023.00      2       17   inf   8.57       0 214.25    0    2 |     0/0       0/0       0/0      17/2  
Gold Reaper 1|2392.92      1       17   inf  17.14       0 428.50    0    1 |     0/0       0/0       0/0      17/1  
GoldDaily1|1758.67         1       17   inf  17.13       0 428.25    1    0 |    17/1       0/0       0/0       0/0  
GoldDaily2|1758.67         1       17   inf  17.03       0 425.75    1    0 |    17/1       0/0       0/0       0/0  
Gold Reaper 7|2632.45      2       17   inf   8.48       0 212.00    1    1 |     0/0       0/0       0/0      17/2  
goldtrade_D|2483.69        1       17   inf  16.90       0 422.50    0    1 |     0/0       0/0       0/0      17/1  
Gold Reaper 8|1993.40      2       17   inf   8.43       0 210.62    0    2 |     0/0       0/0      17/2       0/0  
Gold Reaper 8|1949.76      2       17   inf   8.27       0 206.62    0    2 |     0/0      17/2       0/0       0/0  
GoldDaily2|1834.00         1       17   inf  16.51       0 412.75    1    0 |    17/1       0/0       0/0       0/0  
GoldDaily1|1674.98         1       17   inf  16.51       0 412.75    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 8|1937.37      2       16   inf   8.20       0 204.88    0    2 |     0/0       0/0      16/2       0/0  
Gold Reaper 7|2424.57      2       16   inf   8.16       0 203.88    1    1 |     0/0       0/0       0/0      16/2  
Gold Reaper 8|1925.94      2       16   inf   8.13       0 203.25    0    2 |     0/0       0/0      16/2       0/0  
Gold Reaper 4|2009.77      1       16   inf  16.21       0 405.25    1    0 |     0/0       0/0      16/1       0/0  
GoldDaily2|1932.42         1       16   inf  16.18       0 404.50    1    0 |     0/0       0/0      16/1       0/0  
goldtrade_D|2383.85        1       16   inf  16.16       0 404.00    0    1 |     0/0       0/0       0/0      16/1  
GoldbotOne_8|1915.04       1       16   inf  16.14       0 403.50    0    1 |     0/0      16/1       0/0       0/0  
Gold Reaper 4|1932.42      1       16   inf  16.12       0 403.00    1    0 |     0/0       0/0      16/1       0/0  
goldtrade_D|2450.11        1       16   inf  16.11       0 402.75    0    1 |     0/0       0/0       0/0      16/1  
DaytradePro_XAUUSD|181     2       16   inf   8.05       0 201.25    1    1 |    16/2       0/0       0/0       0/0  
Gold Reaper 7|2364.98      2       16  5.50   8.04       4   4.27    0    0 |     0/0       0/0       0/0      16/2  
GoldbotOne_8|1781.37       1       16   inf  16.05       0 401.25    0    1 |    16/1       0/0       0/0       0/0  
GoldbotOne_8|1758.67       1       16   inf  15.88       0 397.00    0    1 |    16/1       0/0       0/0       0/0  
goldtrade_E|2195.21        1       16   inf  15.86       0 396.50    0    1 |     0/0       0/0       0/0      16/1  
Gold Reaper 1|2222.93      1       16   inf  15.85       0 396.25    0    1 |     0/0       0/0       0/0      16/1  
goldtrade_E|2009.77        1       16   inf  15.82       0 395.50    0    1 |     0/0       0/0      16/1       0/0  
goldtrade_D|2392.92        1       16   inf  15.81       0 395.25    0    1 |     0/0       0/0       0/0      16/1  
Gold Reaper 8|2368.75      2       16  5.11   7.90       4   3.90    0    0 |     0/0       0/0       0/0      16/2  
goldtrade_D|1969.23        1       16   inf  15.80       0 395.00    0    1 |     0/0       0/0      16/1       0/0  
DaytradePro_XAUUSD|261     1       16   inf  15.73       0 393.25    0    1 |     0/0       0/0       0/0      16/1  
Gold Reaper 8|1859.67      2       16   inf   7.86       0 196.38    0    2 |     0/0      16/2       0/0       0/0  
Gold Reaper 8|1865.44      3       16   inf   5.23       0  92.29    1    2 |     0/0      -0/1      16/2       0/0  
Gold Reaper 8|1849.97      2       16   inf   7.83       0 195.75    0    2 |     0/0       0/0      16/2       0/0  
goldtrade_D|1850.39        1       16   inf  15.52       0 388.00    0    1 |     0/0      16/1       0/0       0/0  
Gold Reaper 8|1739.30      1       16   inf  15.52       0 388.00    0    1 |     0/0      16/1       0/0       0/0  
GoldDaily1|2009.51         1       16   inf  15.52       0 388.00    1    0 |     0/0       0/0       0/0      16/1  
Gold Reaper 8|1954.24      4       16 20.29   3.88       1  13.60    0    2 |     0/0       0/0      16/4       0/0  
Gold Reaper 8|1829.21      2       15   inf   7.74       0 193.50    0    2 |     0/0      15/2       0/0       0/0  
