jeu,mois,net
XAGUSD H2 AGA06|22.676,2021-12,2.08
XAGUSD H2 AGA09|22.786,2021-12,0.52
XAGUSD H2 AGA09|22.645,2021-12,0.52
XAGUSD H2 AGA04|22.645,2021-12,0.47
XAGUSD H2 AGA06|22.645,2021-12,0.52
XAGUSD H2 AGA09|22.639,2022-01,15.17
XAGUSD H2 AGA04|22.639,2022-01,-6.19
XAGUSD H2 AGA06|22.639,2022-01,1.22
XAGUSD H2 AGA09|22.587,2022-01,1.41
XAGUSD H2 AGA09|22.587,2023-11,-17.74
XAGUSD H2 AGA06|22.587,2022-01,1.41
XAGUSD H2 AGA04|22.587,2022-01,1.31
XAGUSD H2 AGA04|22.175,2022-01,1.26
XAGUSD H2 AGA09|22.175,2022-01,-6.89
XAGUSD H2 AGA06|22.175,2022-01,0.89
XAGUSD H2 AGA09|22.823,2022-01,-27.23
XAGUSD H2 AGA04|22.823,2022-01,0.47
XAGUSD H2 AGA06|22.823,2022-01,-5.28
XAGUSD H2 AGA09|23.307,2022-01,2.77
XAGUSD H2 AGA06|23.307,2022-01,3.42
XAGUSD H2 AGA04|23.307,2022-01,0.37
XAGUSD H2 AGA04|23.402,2022-01,0.47
XAGUSD H2 AGA09|23.402,2022-01,2.77
XAGUSD H2 AGA06|23.402,2022-01,0.42
XAGUSD H2 AGA06|23.434,2022-01,0.42
XAGUSD H2 AGA09|23.560,2022-01,-4.01
XAGUSD H2 AGA04|23.560,2022-01,-12.51
XAGUSD H2 AGA06|23.560,2022-01,-4.01
XAGUSD H2 AGA09|22.806,2022-01,0.94
XAGUSD H2 AGA04|22.806,2022-01,0.89
XAGUSD H2 AGA06|22.806,2022-01,1.04
XAGUSD H2 AGA04|22.145,2022-02,0.52
XAGUSD H2 AGA09|22.145,2022-02,0.52
XAGUSD H2 AGA06|22.145,2022-02,0.52
XAGUSD H2 AGA04|23.041,2022-02,0.52
XAGUSD H2 AGA09|23.041,2022-02,0.47
XAGUSD H2 AGA06|23.041,2022-02,0.57
XAGUSD H2 AGA09|23.711,2022-02,-6.80
XAGUSD H2 AGA04|23.711,2022-02,0.57
XAGUSD H2 AGA06|23.711,2022-02,0.52
XAGUSD H2 AGA09|23.972,2022-02,-6.08
XAGUSD H2 AGA09|23.989,2022-02,-48.63
XAGUSD H2 AGA04|23.989,2022-02,-57.18
XAGUSD H2 AGA06|23.989,2022-02,-59.83
XAGUSD H2 AGA09|24.085,2022-02,0.52
XAGUSD H2 AGA04|24.085,2022-02,0.52
XAGUSD H2 AGA06|24.085,2022-02,0.52
XAGUSD H2 AGA04|24.699,2022-02,0.57
XAGUSD H2 AGA04|25.539,2022-03,0.62
XAGUSD H2 AGA06|25.539,2022-03,0.62
XAGUSD H2 AGA09|25.539,2022-03,0.62
XAGUSD H2 AGA09|25.615,2022-03,0.57
XAGUSD H2 AGA06|25.615,2022-03,0.62
XAGUSD H2 AGA09|26.137,2022-03,0.62
XAGUSD H2 AGA09|25.309,2022-03,0.67
XAGUSD H2 AGA04|25.309,2022-03,2.07
XAGUSD H2 AGA06|25.309,2022-03,0.67
XAGUSD H2 AGA09|24.529,2022-03,0.72
XAGUSD H2 AGA09|25.378,2022-03,12.57
XAGUSD H2 AGA04|25.378,2022-03,0.72
XAGUSD H2 AGA06|25.378,2022-03,12.57
XAGUSD H2 AGA04|25.540,2022-03,0.72
XAGUSD H2 AGA09|25.540,2022-03,13.42
XAGUSD H2 AGA06|25.540,2022-03,0.77
XAGUSD H2 AGA04|24.572,2022-03,32.21
XAGUSD H2 AGA09|24.572,2022-03,85.81
XAGUSD H2 AGA06|24.572,2022-03,105.03
XAGUSD H2 AGA09|24.457,2022-03,31.22
XAGUSD H2 AGA06|24.457,2022-03,31.22
XAGUSD H2 AGA04|24.457,2022-03,0.77
XAGUSD H2 AGA09|24.279,2022-04,2.26
XAGUSD H2 AGA04|24.943,2022-04,4.77
XAGUSD H2 AGA09|24.943,2022-04,4.07
XAGUSD H2 AGA06|24.943,2022-04,4.07
XAGUSD H2 AGA09|25.083,2022-04,2.25
XAGUSD H2 AGA04|25.083,2022-04,10.80
XAGUSD H2 AGA06|25.083,2022-04,30.18
XAGUSD H2 AGA04|25.846,2022-04,-27.19
XAGUSD H2 AGA09|25.846,2022-04,-24.24
XAGUSD H2 AGA06|25.846,2022-04,-13.66
XAGUSD H2 AGA09|25.287,2022-04,0.72
XAGUSD H2 AGA04|25.287,2022-04,0.62
XAGUSD H2 AGA06|25.287,2022-04,0.72
XAGUSD H2 AGA04|24.123,2022-04,1.76
XAGUSD H2 AGA06|24.123,2022-04,1.24
XAGUSD H2 AGA09|24.123,2022-04,1.86
XAGUSD H2 AGA04|23.968,2022-04,0.57
XAGUSD H2 AGA09|23.968,2022-04,0.57
XAGUSD H2 AGA09|23.397,2022-04,-5.35
XAGUSD H2 AGA04|23.397,2022-04,1.35
XAGUSD H2 AGA06|23.397,2022-04,-5.45
XAGUSD H2 AGA09|22.888,2022-04,-0.04
XAGUSD H2 AGA09|22.888,2022-05,7.42
XAGUSD H2 AGA04|22.888,2022-04,-0.04
XAGUSD H2 AGA04|22.888,2022-05,8.17
XAGUSD H2 AGA06|22.888,2022-04,-0.04
XAGUSD H2 AGA06|22.888,2022-05,7.42
XAGUSD H2 AGA09|22.837,2022-05,1.24
XAGUSD H2 AGA09|22.211,2022-05,-6.23
XAGUSD H2 AGA06|22.211,2022-05,-6.38
XAGUSD H2 AGA04|22.117,2022-05,0.57
XAGUSD H2 AGA09|22.117,2022-05,-6.23
XAGUSD H2 AGA06|22.117,2022-05,0.62
XAGUSD H2 AGA09|22.100,2022-05,19.52
XAGUSD H2 AGA04|22.100,2022-05,24.14
XAGUSD H2 AGA06|22.100,2022-05,34.31
XAGUSD H2 AGA09|21.177,2022-05,17.84
XAGUSD H2 AGA04|21.177,2022-05,17.94
XAGUSD H2 AGA06|21.177,2022-05,22.32
XAGUSD H2 AGA09|21.912,2022-05,0.47
XAGUSD H2 AGA04|21.912,2022-05,0.67
XAGUSD H2 AGA06|21.912,2022-05,0.57
XAGUSD H2 AGA09|22.202,2022-05,0.67
XAGUSD H2 AGA04|22.202,2022-05,0.62
XAGUSD H2 AGA06|22.202,2022-05,0.67
XAGUSD H2 AGA09|21.725,2022-05,-9.70
XAGUSD H2 AGA04|21.725,2022-05,-2.15
XAGUSD H2 AGA06|21.725,2022-05,-21.65
